Mixture,MS1_percent
qns31079_044,43.498596642842976
qns31079_045,24.079009335705585
qns31079_046,22.836060882481046
qns31079_047,36.126010317387156
qns31079_048,33.94108152628745
qns31079_053,26.85693759841672
qns31079_054,36.44147422128648
qns31079_055,28.901632231075396
qns31079_056,52.05373508535456
qns31079_057,43.70701506447713
qns31079_058,46.08024390504302
qns31079_059,38.9320624928687
qns31079_061,22.698159404070946
qns31079_062,33.20006789624238
qns31079_068,32.58397632761109
qns31079_069,24.480152433840743
qns31079_070,30.622862129311844
qns31079_071,42.87827032238386
qns31079_072,31.113106520249517
qns31079_075,27.49105081314197
qns31079_076,34.80937917238723
qns31079_077,27.919816245199836
qns31079_079,32.42246963653458
qns31079_080,36.73977848132642
qns31079_081,37.6045715100524
qns31079_083,36.89951002131051
qns31079_084,34.15863987343462
qns31079_085,49.40210914485413
qns31079_086,45.4534229686882
qns31079_087,33.468668733815726
qns31079_088,26.60171189039118
qns31079_089,57.58409814749301
qns31079_090,24.411384939549833
qns31079_092,23.969429513722133
qns31079_093,19.197450679489165
qns31079_094,51.11421265969738
qns31079_188,23.33176957059841
qns31079_190,44.393373057497406
qns31079_191,13.053521033917317
qns31079_192,36.530590381518294
qns31079_194,35.37611244878014
qns31079_195,25.083714716944506
qns31079_196,36.90834462069707
qns31079_197,30.919594537239426
qns31079_198,41.92641480160738
qns31079_199,22.317197301347477
qns31079_201,28.668060823028686
qns31079_202,28.697903813751157
qns31079_203,21.932342849094038
qns31079_204,27.786525172685444
qns31079_205,22.79292064768991
qns31079_206,46.94345428863194
qns31079_207,16.493041469010816
qns31079_208,22.678560505311502
qns31079_209,33.30450234891349
qns31079_211,31.85052756050888
qns31079_212,25.888369558477653
qns31079_213,35.78812106891232
qns31079_214,48.829897746199904
qns31079_215,34.4398677435434
qns31079_217,53.88865731264369
qns31079_218,55.164588731881835
qns31079_220,31.567221002436952
qns31079_221,38.98824321645835
qns31079_226,27.99471336801916
qns31079_227,28.92781349215754
qns31079_228,29.496583397679533
qns31079_229,60.507938554868865
qns31079_230,30.587279993540488
qns31079_231,32.75192575980637
qns31079_232,57.59486359833844
qns31079_233,39.09127904081486
qns31079_234,26.322307920521304
qns31079_236,36.61262766342156
qns31079_237,47.275142441302336
qns31079_239,48.74301853010671
qns31079_240,26.389244184474702
qns31079_241,38.15040572635623
qns31079_242,35.197918391279465
qns31079_243,16.334084449204802
qns31079_244,23.69070270847916
qns31079_245,26.07141006047383
qns31079_246,36.121218314009575
qns31079_247,27.34225795615569
qns31079_250,23.50003448927774
qns31079_251,28.61737006210165
qns31079_252,34.257632134054475
qns31079_254,40.05411883839063
qns31079_256,44.73198942485869
qns31079_257,27.590280286083186
qns31079_258,19.666705530742597
qns31079_259,29.13701164392244
qns31079_260,39.10177648400202
qns31079_261,54.62738486516928
qns31079_262,26.508287128477022
qns31079_263,37.03857191817627
qns31079_264,34.6876656487257
qns31079_265,26.013365220909957
qns31079_266,34.26616326975013
qns31079_267,31.12186957737219
qns31079_268,35.491068294490034
qns31079_269,8.190202621236889
qns31079_273,26.905267830977053
qns31079_274,34.27762757316813
qns31079_275,32.33687147793023
qns31079_276,49.29218993422347
qns31079_277,31.878854986280725
qns31079_278,24.356363956414537
qns31079_279,34.85919371225287
qns31079_280,24.75090025687493
qns31079_281,24.452561411747926
qns31079_282,54.41633496066777
qns31079_283,33.76539315472766
qns31079_284,41.23827754961169
qns31079_285,45.84167929598086
qns31079_286,33.03013260903131
qns31079_287,21.735044129864267
qns31079_288,34.07084613652983
qns31079_289,42.0039644255241
qns31079_291,48.01337668612425
qns31079_292,44.07589940287169
qns31079_293,12.689808968085883
qns31079_294,25.00468135462582
qns31079_295,38.11109019089201
qns31079_296,17.00311604288915
qns31079_297,17.874732797943118
qns31079_298,22.94065782563164
qns31079_299,33.250995012232636
qns31079_303,34.418019990273734
qns31079_304,27.17785577894664
qns31079_305,19.486828799855044
qns31079_306,56.85623443193444
qns31079_307,55.92339187380987
qns31079_308,26.359388185393556
qns31079_309,40.2186528069652
qns31079_311,20.538880347555036
qns31079_312,27.105482292651338
qns31079_313,22.57873856749
qns31079_314,34.43445739945783
qns31079_315,26.84756782493955
qns31079_317,19.394194263512755
qns31079_318,38.65266673616257
qns31079_319,20.908312680050035
qns31079_320,30.031897615485338
qns31079_321,26.11413081919136
qns31079_322,50.95766685661817
qns31079_323,52.797689715504184
qns31079_324,28.355140952855983
qns31079_326,46.61266942870785
qns31079_327,23.958641332307764
qns31079_328,19.05896346413092
qns31079_329,36.44008089426106
qns31079_330,37.171400660791996
qns31079_331,28.488095353424146
qns31079_332,35.390689840853625
qns31079_333,32.867805300387296
