"Sample","SRS7","SRSq7","SRS19","SRSq19"
"03_04_2013_E09_hv59.CEL","SRS2",0.564771688209453,"SRS2",0.631984589238172
"03_04_2013_F10_hv49.CEL","SRS3",0.232456204011625,"SRS3",0.219295725537806
"13_03_2013_F12_hv32.CEL","SRS3",0.0866532717349252,"SRS3",0.271229911135379
"14_03_2013_A10_hv35.CEL","SRS3",0.231555317832405,"SRS3",0.254362629349038
"14_03_2013_B10_hv40.CEL","SRS2",0.354450051444367,"SRS2",0.450564677523398
"14_03_2013_C02_hv56.CEL","SRS2",0.447870989843769,"SRS2",0.516367843832831
"19_03_2013_D02_hv43.CEL","SRS2",0.565025473820124,"SRS2",0.631257828372921
"19_03_2013_D05_hv38.CEL","SRS2",0.417329393110215,"SRS3",0.21602659519835
"19_03_2013_D07_hv53.CEL","SRS3",0.307943377105225,"SRS2",0.360658168124378
"19_03_2013_D12_hv34.CEL","SRS3",0.290619507526499,"SRS3",0.142760576849703
"19_03_2013_E07_hv39.CEL","SRS2",0.47584293615773,"SRS2",0.662036938426631
"19_03_2013_E08_hv41.CEL","SRS2",0.532425563261895,"SRS2",0.446476519770081
"19_03_2013_E09_hv20.CEL","SRS2",0.469985210079431,"SRS2",0.50897129760267
"20_03_2013_C02_hv04.CEL","SRS2",0.460933738068342,"SRS3",0.10948642848252
"20_03_2013_C11_hv12.CEL","SRS3",0.148852489981754,"SRS3",0.148508386992142
"20_03_2013_D03_hv54.CEL","SRS2",0.708773434333963,"SRS3",0.408152172351628
"20_03_2013_D04_hv47.CEL","SRS2",0.596316403258486,"SRS2",0.4513740220181
"20_03_2013_G02_hv36.CEL","SRS2",0.482391609513058,"SRS2",0.613185757473263
"26_03_2013_F06_hv42.CEL","SRS2",0.55841748153403,"SRS2",0.546213367003502
"26_03_2013_F09_hv57.CEL","SRS2",0.4525084546707,"SRS3",0.378026387446108
"26_03_2013_F12_hv44.CEL","SRS2",0.549883275526548,"SRS3",0.243091007264758
"26_03_2013_G11_hv70.CEL","SRS2",0.398550501945761,"SRS2",0.454946847348746
"26_03_2013_H10_hv69.CEL","SRS2",0.453956861356973,"SRS2",0.58046932374599
"26_03_2013_H12_hv48.CEL","SRS3",0.298476374726362,"SRS3",0.208928609631502
"27_03_2013_A03_hv33.CEL","SRS3",0.0864101553654856,"SRS2",0.313267847613303
"27_03_2013_A11_hv68.CEL","SRS2",0.507193220906221,"SRS2",0.677983541301131
