"cluster","sil_width"
3,-0.0965992353916665
1,0.349539834699851
1,0.620146483583206
2,0.199779873694612
3,0.465576216185974
3,0.418022630451938
1,0.727861130375888
3,0.485344850946857
1,0.716425127429719
1,0.619424994921657
2,0.366818997401933
3,0.6445866617107
1,0.392566246134375
3,0.597719421059209
1,0.561001611996321
1,0.105478618298907
1,0.717326437991072
3,0.0709039638240963
2,0.514580779976551
3,0.452220769271737
3,0.638307289781029
1,0.349008750921177
2,0.553849368735193
3,0.65316591418795
2,-0.353933277594222
2,-0.0083485025509821
2,0.27954935171146
1,0.716374070162216
3,0.152205522428911
1,0.510858256736366
3,0.0777873584637836
3,0.64234412867149
2,0.0271669038842066
1,0.531712963907188
1,0.29413309314092
2,-0.107786587585798
3,0.515927205034788
3,0.396023789396625
1,0.641032560625128
2,0.399928009175916
3,-0.017607553524796
1,0.706361965103788
2,0.209429259303005
2,0.374591918834963
3,0.54052911747395
1,0.728451525092325
2,0.546383413894918
1,-0.0885931229252254
1,0.062641691633743
1,0.713666886358296
2,0.493084930087175
1,0.732408827806182
3,0.37592234247983
1,0.303169767790247
2,0.387680508776591
1,0.688972134990569
1,0.711981442531526
2,0.137552733003513
1,0.304414834662974
3,-0.26345256716457
2,0.3133664260998
1,0.0468247121021642
1,0.723959088041471
2,0.487553827286582
1,0.724951033346546
3,0.643792894142801
1,0.73087749977043
3,0.644289845332001
2,0.295420852208461
1,0.568158661296083
1,0.719905197130865
1,0.464836828606028
3,0.650864350865573
1,0.664877503504986
1,0.733709013253722
1,0.280781630596288
1,0.733178681902157
1,0.69817847413959
3,0.329477276812489
1,0.72961589432554
1,0.732335424233443
3,0.197818067127787
2,0.48351049714388
1,0.722455896241519
3,0.251723452677738
3,0.559900630032335
1,0.481168753716224
1,0.71212231130257
3,0.559249993550828
3,0.530716474255219
1,0.727114507587062
2,0.0394662936370596
3,0.321483331853426
3,0.626113590735001
3,0.354056988631288
3,0.287606740558542
1,0.721551315603199
3,0.455945025166949
1,0.0691604961546806
3,0.582629541712482
3,0.565626829686405
3,0.286310665116962
3,0.372040306491159
2,0.405420620108468
3,0.655704725849774
2,0.464795563495843
3,0.646497417517854
2,0.540689594207802
2,0.5387522520291
1,-0.0631223379658708
3,0.413432706799961
1,0.576456861840994
1,0.726053749428275
1,0.729064458571158
2,-0.252188835333682
3,0.638983551597228
3,0.384476109253237
1,0.471099420058326
1,0.527334678171225
1,0.705559949083333
2,0.460719168164912
1,0.65376631668731
3,0.601106658441047
3,0.638180400903056
3,0.361241554348637
1,0.422697943216789
3,0.641508843027221
1,0.720686867935858
3,0.553762397237075
3,0.596505157538037
1,0.516734472984136
3,-0.297575063422259
1,0.0442797469613992
1,0.198808233685871
3,0.267217853757796
1,0.197384819606452
3,0.0890905756706676
1,0.403188036663346
3,0.237152749417216
3,0.537759902200688
1,0.729878843556748
1,0.448972077186928
1,0.0900879485557577
3,0.585215822564066
1,0.677390995976254
1,0.719498935647883
3,0.480994825468877
2,0.531009782303087
2,0.320717667234484
3,0.557012346154485
3,0.50556181260111
3,-0.00502493548786321
3,0.39497506276251
3,0.643826248897553
1,-0.367433229663012
2,0.351575089479287
3,0.639252887998259
1,0.558121675950984
3,0.388975045794553
2,0.151119394969826
2,0.190446888348085
3,0.542431448089933
1,0.729946845980094
2,0.422646227247749
2,-0.0249943285505981
1,0.604014574338976
3,0.366046253153693
2,0.354518248097676
2,0.35239696209676
2,0.430672659956456
3,0.620327128585596
2,0.272569489673519
2,0.54333692374732
3,0.641201845473627
3,0.50332179183511
1,0.226071713500439
3,0.635419162747576
1,0.671649679605611
1,0.373171107811164
2,-0.139329643226379
2,-0.171682364210757
1,0.724760312353611
3,0.263828099729968
3,0.592171632727656
3,-0.131144035463993
2,0.293230259961205
2,0.494070918319297
3,0.340724923766221
1,0.728767492089582
